ID,Year,Work,Authors,Research stream,Core mechanism / contribution,Formalism / representation,Policy source,Uniqueness,Source-supported limitations,Reviewer-inferred limitations,Agent-security relevance,Relationship to Conflux,Conflux impact,Novelty impact,Priority,Review status,Claim-safe status,Primary/source URL,Connected IDs,Connected works,Recommended Conflux use,Full-review questions,Audit basis
L011,2012,Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy),Xusheng Xiao; Amit Paradkar; Suresh Thummalapenta; Tao Xie,Natural language policy extraction,Extracts access-control rules and resource-access information from requirements,NLP extraction to ACP/XACML-like rules,Natural-language software documents,Automatically extracts access-control rules from ordinary software documents rather than controlled English.,,"Reported extraction is imperfect, so omissions/misbindings can silently weaken policy.",Strong autoformalization ancestor,Important evidence that translation accuracy is imperfect; Conflux must not treat generated policy as trusted by default,Strong precedent for autoformalization and warning that syntactic validity is not semantic fidelity.,High,Critical,Verified primary,Publication-safe metadata,https://www.microsoft.com/en-us/research/publication/automated-extraction-of-security-policies-from-natural-language-software-documents/,L008; L010; L012; L026,An Empirical Study of Natural Language Parsing of Privacy Policy Rules Using the SPARCLE Policy Workbench; A Controlled Natural Language Interface for Authoring Access Control Policies; Policy by Example: An Approach for Security Policy Specification; Autoformalization of Agent Instructions into Policy-as-Code,"Use as prior art for policy acquisition. Generated/learned policy should carry provenance, confidence/review status, and should not silently become part of Conflux hard security assumptions.","What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | What are measured translation errors, and how are false permissions prevented? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L012,2017,Policy by Example: An Approach for Security Policy Specification,Adwait Nadkarni; William Enck; Somesh Jha; Jessica Staddon,Policy synthesis / usable security,Learns user-specific policies from allow/deny examples with active learning,Programming-by-example / active learning,Examples + user corrections,Learns policy from allow/deny examples via active learning rather than prose/formal rules.,,"Examples may be sparse, noisy or normatively wrong; learned behavior is not proof of intended policy.",Relevant to learning policy without prose formalization,Alternative policy-acquisition mechanism; useful comparison to autoformalization and learned agent policies,Predecessor to feedback-refined agent policy such as PolicyBank.,Moderate,High,Verified primary,Publication-safe metadata,https://arxiv.org/abs/1707.03967,L011; L020; L026; L028,Automated Extraction of Security Policies from Natural-Language Software Documents (Text2Policy); Design Patterns for Securing LLM Agents against Prompt Injections; Autoformalization of Agent Instructions into Policy-as-Code; PolicyBank,"Use as prior art for policy acquisition. Generated/learned policy should carry provenance, confidence/review status, and should not silently become part of Conflux hard security assumptions.","What is the exact trusted computing base and what inputs/policies are assumed correct? | How is policy authored, refined, validated, and updated; what happens on ambiguity or conflict? | What are measured translation errors, and how are false permissions prevented? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L013,2024,"Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization",Joseph W. Cutler; Craig Disselkoen; Aaron Eline; Shaobo He; Kyle Headley; Michael Hicks; Kesha Hietala; Eleftherios Ioannidis; John Kastner; Anwar Mamat; Darin McAdams; Matt McCutchen; Neha Rungta; Emina Torlak; Andrew Wells,Authorization language,Fine-grained authorization policy language and evaluator,Typed authorization logic,Human/machine-authored policy-as-code,Production-oriented authorization language combining RBAC/ABAC/ReBAC expressiveness with analyzability and fast evaluation.,,Engine correctness does not prove policy completeness/intent; history requires explicit external state.,Directly relevant: Conflux has Cedar integration,Must cite when Cedar is part of implementation; separates ACS decision engine from Conflux influence semantics,"Natural Conflux policy backend, but not itself a provenance/influence security model.",Moderate,Critical,Verified primary; metadata corrected,Publication-safe metadata,https://arxiv.org/abs/2403.04651,L014; L026; L038; L039,"Defending Against Indirect Prompt Injection Attacks With Spotlighting; Autoformalization of Agent Instructions into Policy-as-Code; Zanzibar: Google’s Consistent, Global Authorization System; XACML 2.0 / 3.0 policy language lineage",Use as ACS substrate/background; Conflux should consume or map to established authorization semantics rather than claim to replace them.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L014,2024,Defending Against Indirect Prompt Injection Attacks With Spotlighting,Keegan Hines et al.,Model-level prompt-injection defence,Marks/encodes untrusted content to improve model discrimination,Model prompting/encoding,No formal policy,Lightweight provenance cue to the model that substantially reduces indirect-injection success in tested settings.,,Security remains empirical/model-dependent; arbitrary model behavior can ignore the cue.,Empirical defence baseline,Complementary model-level layer; not a substitute for system-level authorization,Complementary utility/security-probability layer above a hard Conflux monitor.,Low,Medium,Existing Conflux reference,Needs citation verification before publication,https://arxiv.org/abs/2403.14720,L013; L026; L038; L003,"Cedar: A New Language for Expressive, Fast, Safe, and Analyzable Authorization; Autoformalization of Agent Instructions into Policy-as-Code; Zanzibar: Google’s Consistent, Global Authorization System; The Policy Machine: A Novel Architecture and Framework for Access Control Policy Management","Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L015,2024,StruQ: Defending Against Prompt Injection with Structured Queries,Sizhe Chen; Julien Piet; Chawin Sitawarin; David Wagner,Model-level prompt-injection defence,Separates instructions and data structurally,Structured query interface,No formal policy,Makes trusted instruction vs data separation an explicit interface/training objective rather than only prompting.,,Depends on trained model behavior and fixed channel assumptions; data-dependent control remains difficult.,Empirical/model-level defence,Useful defence-in-depth baseline; security remains model-dependent,Contrast case for Conflux's worst-case model threat model.,Low,Medium,Existing Conflux reference,Needs citation verification before publication,https://arxiv.org/abs/2402.06363,L016; L017; L018; L019; L023,System-Level Defense against Indirect Prompt Injection Attacks: An Information Flow Control Perspective; Defeating Prompt Injections by Design (CaMeL); Progent: Programmable Privilege Control for LLM Agents; Contextual Integrity in LLMs via Reasoning and Reinforcement Learning; Policy Compiler for Secure Agentic Systems / FORGE,"Use to make SLED-V verdicts precise: distinguish runtime-enforceable safety, bounded checking, unbounded invariant proofs, and relational confidentiality.","What is the exact trusted computing base and what inputs/policies are assumed correct? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L016,2024,System-Level Defense against Indirect Prompt Injection Attacks: An Information Flow Control Perspective,Fangzhou Wu; Ethan Cecchetti; Chaowei Xiao,System-level / IFC,Information-flow-control framing for indirect PI,IFC / taint-style control,System policy,Explicitly applies information-flow-control ideas to system-level LLM-agent defense with trusted planning/flow restrictions.,,Utility and security depend on plan/control assumptions and trust-label granularity.,Close system-level neighbour,Important predecessor for provenance/information-flow based agent security,"Important predecessor; Conflux distinction must be principal identity/current ACS and richer data-dependent authority, not generic IFC.",High,Critical,Existing Conflux reference,Needs citation verification before publication,https://arxiv.org/abs/2409.19091,L015; L017; L018; L019,StruQ: Defending Against Prompt Injection with Structured Queries; Defeating Prompt Injections by Design (CaMeL); Progent: Programmable Privilege Control for LLM Agents; Contextual Integrity in LLMs via Reasoning and Reinforcement Learning,Important predecessor for provenance/information-flow based agent security,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L017,2025,Defeating Prompt Injections by Design (CaMeL),Edoardo Debenedetti et al.,System-level agent security,Dual-LLM planning + capabilities + policy checks,Custom interpreter / policies / capabilities,Developer-defined application policies,"End-to-end agent architecture combining control/data separation, capabilities/provenance and deterministic policy enforcement.",,Application policy and trusted planning/control assumptions remain part of the TCB; data-dependent planning can lose utility.,Closest original comparison for ITES,Conflux must distinguish ACS-derived principal authority from CaMeL policy semantics and planning assumptions,Primary direct comparator; Conflux should compare threat model and policy derivation precisely rather than say CaMeL lacks security.,Critical,Critical,Existing Conflux reference,Needs citation verification before publication,https://arxiv.org/abs/2503.18813,L015; L016; L018; L019; L023; L025,StruQ: Defending Against Prompt Injection with Structured Queries; System-Level Defense against Indirect Prompt Injection Attacks: An Information Flow Control Perspective; Progent: Programmable Privilege Control for LLM Agents; Contextual Integrity in LLMs via Reasoning and Reinforcement Learning; Policy Compiler for Secure Agentic Systems / FORGE; The Granularity Mismatch in Agent Security: Argument-Level Provenance Solves Enforcement and Isolates the LLM Reasoning Bottleneck (PACT),"Direct comparison target: identify what is trusted, what provenance granularity is tracked, where policy comes from, and whether enforcement is model-independent.","What is the exact trusted computing base and what inputs/policies are assumed correct? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L018,2025,Progent: Programmable Privilege Control for LLM Agents,Tianneng Shi et al.,Agent privilege control,Fine-grained DSL constraints on tool calls; fallbacks; LLM-generated policies,Domain-specific policy language,"Developer/user policies, optionally LLM-generated","Makes task-specific least-privilege policy and policy evolution/expansion explicit security artifacts, with argument-sensitive rules and deterministic checks.",,Generated policy can be semantically wrong; least-privilege-allowed harms and natural-language harms remain possible.,Very close to Conflux privilege-control goal,"Invalidates broad novelty claims around privilege control; compare policy source, argument sensitivity, ACS derivation, guarantees","Conflux cannot claim novelty for programmable privilege control, argument policies or LLM-assisted policy generation.",Critical,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2504.11703,L015; L016; L017; L019; L023,StruQ: Defending Against Prompt Injection with Structured Queries; System-Level Defense against Indirect Prompt Injection Attacks: An Information Flow Control Perspective; Defeating Prompt Injections by Design (CaMeL); Contextual Integrity in LLMs via Reasoning and Reinforcement Learning; Policy Compiler for Secure Agentic Systems / FORGE,"Direct comparison target: identify what is trusted, what provenance granularity is tracked, where policy comes from, and whether enforcement is model-independent.","What is the exact trusted computing base and what inputs/policies are assumed correct? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L019,2025,Contextual Integrity in LLMs via Reasoning and Reinforcement Learning,Guangchen Lan et al.,Contextual integrity / model alignment,Explicit CI reasoning and RL to reduce inappropriate disclosure,Learned reasoning policy,Synthetic contextual norms + benchmark labels,Operationalizes Contextual Integrity as an LLM reasoning/training objective for privacy-sensitive agent decisions.,,Model-level and probabilistic; norm correctness/generalization remain fallible.,Model-level CI counterpart,Useful complement: Conflux can enforce hard authority while CI model handles context-sensitive appropriateness,"Complementary interpretation layer for contextual policy, not a replacement for hard authority enforcement.",Moderate,High,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2506.04245,L015; L017; L018; L023; L025; L005,StruQ: Defending Against Prompt Injection with Structured Queries; Defeating Prompt Injections by Design (CaMeL); Progent: Programmable Privilege Control for LLM Agents; Policy Compiler for Secure Agentic Systems / FORGE; The Granularity Mismatch in Agent Security: Argument-Level Provenance Solves Enforcement and Isolates the LLM Reasoning Bottleneck (PACT); Preventing Privilege Escalation,Treat contextual appropriateness as a policy dimension distinct from bare ACS authorization; use it to motivate visibility/consent/context policies without weakening the hard Principal-Context authority invariant.,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Can the norm be represented as a deterministic predicate over Conflux state, or does it require model judgement? | Is the result bounded, unbounded, runtime-only, or relational; what assumptions make it sound? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L020,2025,Design Patterns for Securing LLM Agents against Prompt Injections,Luca Beurer-Kellner et al.,Agent security architecture,Catalogues isolation and system-level design patterns,Architectural patterns,Varies,Synthesizes reusable architectural patterns for prompt-injection-resistant agents and their conditional guarantees/trade-offs.,,Pattern guarantees depend on assumptions and correct implementation; policy origin remains separate.,Broad system-level landscape,Useful taxonomy/context for where Conflux sits among system-level patterns,Useful taxonomy positioning Conflux as one composable security kernel/pattern.,Moderate,High,Existing Conflux reference,Needs citation verification before publication,https://arxiv.org/abs/2506.08837,L012; L026; L028; L023,Policy by Example: An Approach for Security Policy Specification; Autoformalization of Agent Instructions into Policy-as-Code; PolicyBank; Policy Compiler for Secure Agentic Systems / FORGE,"Direct comparison target: identify what is trusted, what provenance granularity is tracked, where policy comes from, and whether enforcement is model-independent.","What is the exact trusted computing base and what inputs/policies are assumed correct? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L021,2025,A Critical Evaluation of Defenses Against Prompt Injection Attacks,Yuqi Jia et al.,Evaluation / attacks,Adaptive evaluation of PI defences,Empirical adversarial evaluation,,Shows benchmark saturation can overstate security when defenses face stronger/adaptive attacks and utility is measured carefully.,,"Still finite empirical evaluation, not universal proof.",Motivates defence-in-depth and worst-case system evaluation,Supports revised stance: model defences provide useful probabilistic security but not hard guarantees,Strong motivation for SLED/SLED-V while retaining real-model evaluation for utility.,High,High,Existing Conflux reference,Needs citation verification before publication,https://arxiv.org/abs/2505.18333,L006; L007; L024; L033,Privacy as Contextual Integrity; Privacy and Contextual Integrity: Framework and Applications; AI Agents May Always Fall for Prompt Injections; Hyperproperties,Supports revised stance: model defences provide useful probabilistic security but not hard guarantees,"What is the exact trusted computing base and what inputs/policies are assumed correct? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
L022,2026,AgentGuardian: Learning Access Control Policies to Govern AI Agent Behavior,Nadya Abaev et al.,Learned agent access control,Learns per-tool context-aware policies and control-flow constraints from staging traces,Learned ABAC/control-flow policies,Observed benign trajectories,Learns context-sensitive runtime policies from legitimate staging traces/control-flow dependencies.,,"Coverage, rare benign behavior, free-form arguments and poisoned staging traces are bottlenecks.",Close policy-learning neighbour,Alternative to ACS derivation and NL autoformalization; raises soundness/generalization questions for learned policies,Policy-learning alternative that should remain bounded by hard ACS-derived invariants.,High,Critical,Verified primary,Publication-safe metadata,https://arxiv.org/abs/2601.10440,L015; L017; L019; L027,StruQ: Defending Against Prompt Injection with Structured Queries; Defeating Prompt Injections by Design (CaMeL); Contextual Integrity in LLMs via Reasoning and Reinforcement Learning; How Not to Detect Prompt Injections with an LLM,"Direct comparison target: identify what is trusted, what provenance granularity is tracked, where policy comes from, and whether enforcement is model-independent.","What is the exact trusted computing base and what inputs/policies are assumed correct? | What execution/provenance history is available to the reference monitor, and at what granularity? | Which Conflux novelty/claim must be narrowed, strengthened, or experimentally compared after this work?",Existing 40-paper matrix + corrected metadata + paper-by-paper audit
