id,title,year,stream,mechanism,granularity,policy_source,provenance_type,formal_guarantee,implementation_or_artifact,evaluation,closest_relation_to_conflux,adoption_priority,evidence_tier,source_url,notes
AGENTSPEC,AgentSpec: Customizable Runtime Enforcement for Safe and Reliable LLM Agents,2025,Runtime policy,"DSL rules, triggers, predicates, enforcement",tool call/trace,developer policy,runtime state,deterministic rule enforcement,runtime framework,multiple domains,evidence not to invent a general DSL unnecessarily,medium,B,https://arxiv.org/abs/2503.18666,Potential backend rather than competitor at authority layer
AGENTARMOR,AgentArmor: Enforcing Program Analysis on Agent Runtime Trace to Defend Against Prompt Injection,2025,Program-analysis defence,CFG/DFG/PDG and type system over traces,trace/value/action,analysis rules,program dependence,trace accepted only if type/policy checks pass,implementation,AgentDojo,borrow trace-as-program and mutation ideas,high,B,https://arxiv.org/abs/2508.01249,Reported strong TPR/FPR; verify exact setup
FORGE,Formal Policy Enforcement for Real-World Agentic Systems,2026,Formal policy enforcement,"Datalog policy, dependency graph, AOP instrumentation, reference monitor",event graph/action,developer/organisation policy,causal dependency graph,decisions match policy semantics if observability contract holds,FORGE/PCAS implementation,"prompt injection, pharmacovigilance, customer service",closest formal observability and multi-agent comparator,critical,B,https://arxiv.org/abs/2602.16708,Title evolved from Policy Compiler for Secure Agentic Systems
SEAGENT,Taming Various Privilege Escalation in LLM-Based Agent Systems: A Mandatory Access Control Framework,2026,Privilege escalation,MAC/ABAC over information-flow graph,principal/value/action,MAC/ABAC policy,information-flow graph,prevents modeled PE classes under monitor assumptions,implementation,PE scenarios including multi-agent,directly challenges PE-framing novelty,critical,B,https://arxiv.org/abs/2601.11893,Compare threat model and policy derivation carefully
PACT,The Granularity Mismatch in Agent Security: Argument-Level Provenance Solves Enforcement and Isolates the LLM Reasoning Bottleneck,2026,Argument provenance,semantic roles + cross-step provenance + capability contracts,tool argument,role-specific trust contract,value/argument provenance,contract satisfaction; oracle result separates mechanism from inference,PACT monitor,diagnostic suites and AgentDojo,most important granularity challenge,critical,B,https://arxiv.org/abs/2605.11039,Conflux should generalise role contracts to principal-native authorization
ARGUS,ARGUS: Defending LLM Agents Against Context-Aware Prompt Injection,2026,Context-aware provenance,influence provenance graph + evidence justification,context/value/action,justification policy,influence graph,runtime blocking based on justified provenance,implementation,AgentLure benchmark,borrow evidence graph and context-aware attack evaluation,high,B,https://arxiv.org/abs/2605.03378,Distinguish evidence support from authority
PROVENANCEGUARD-ACTION,Safeguarding LLM Agents from Misalignment through Provenance Analysis,2026,Action alignment,multi-stage provenance support checks for tool/argument/interpretation,tool argument/evidence,user-intent support policy,evidence provenance,no unconditional security theorem; structured misalignment detection,implementation,"Agent-SafetyBench, WorkBench, 10 LLMs",complementary action-alignment layer,high,B,https://arxiv.org/abs/2607.01236,Name collision with source-aware factuality work
NEUROTAINT,Ghost in the Agent: Redefining Information Flow Tracking for LLM Agents,2026,Semantic taint,semantic/causal information-flow tracking for agent traces,value/trace,taint policy,semantic influence,runtime detection claim,prototype,agent attack cases,supports richer influence relation than authorship union,high,C,https://arxiv.org/abs/2604.23374,Inspect implementation before adopting quantitative claims
AGENT-SENTRY-BOUND,Agent-Sentry: Bounding LLM Agents via Execution Provenance,2026,Execution provenance,bound behavior using trace provenance,trace/action,execution policy,execution lineage,bounded execution claim,prototype,agent scenarios,relevant to decision certificates and trace bounds,medium,C,https://arxiv.org/abs/2603.22868,Disambiguate from temporal-causal AgentSentry
AGENTSENTRY-CAUSAL,AgentSentry: Mitigating Indirect Prompt Injection in LLM Agents via Temporal Causal Diagnostics and Context Purification,2026,Causal diagnosis,temporal causal diagnostics plus context purification,trace/context,diagnostic policy,temporal causal influence,empirical mitigation,implementation,prompt-injection benchmarks,model-level/runtime hybrid for utility,medium,C,https://arxiv.org/abs/2602.22724,Not same as Agent-Sentry execution provenance
SECURECLAW,SecureClaw: Clawing Back Control of LLM Agents,2026,Dual-boundary confinement,opaque handles/bounded summaries + sink auth + preview/commit,data handle/effect,system policy,source and sink metadata,exact committed request must match approved preview,implementation,"AgentDojo, ASB, AgentLeak",borrow dual boundary and canonical preview/commit,critical,B,https://arxiv.org/abs/2606.09549,Strong practical complement to principal authorization
AUTH-WORKFLOWS,Authenticated Workflows: A Systems Approach to Protecting Agentic AI,2026,Authenticated workflow,cryptographic/authenticated workflow steps,workflow/effect,workflow specification,authenticated event lineage,workflow authenticity/integrity under assumptions,prototype/concept,workflow cases,relevant to delegation and decision certificates,high,C,https://arxiv.org/abs/2602.10465,Use for multi-step approval integrity
SILENT-EGRESS,Silent Egress,2026,Covert/egress channels,analysis of indirect and silent data exfiltration,observation/channel,egress policy,flow/observation,negative result/attack characterization,paper/artifact,agent systems,forces explicit observer model and channel inventory,high,C,https://arxiv.org/abs/2602.22450,Avoid claiming confidentiality from action authorization alone
AUTHGRAPH,Aligning Provenance with Authorization: A Dual-Graph Defense for LLM Agents,2026,Authorization provenance,clean authority graph vs execution provenance graph,argument/value/action,authorization graph,dual graph,parameter-source alignment property,prototype,AgentDojo/AgentDyn reported,direct basis for normative-vs-descriptive graph split,critical,C,https://arxiv.org/abs/2605.26497,AuthGraph is the system name; paper title is Aligning Provenance with Authorization
CAUSALITY-LAUNDERING,Causality Laundering: Denial-Feedback Leakage in Tool-Calling LLM Agents,2026,Causal provenance,counterfactual edges from denied actions; integrity lattice,denial/event/value/action,reference-monitor policy,field-level + denial causal graph,blocks modeled denial-feedback and transitive attacks,ARM prototype,three controlled scenarios,requires blocked actions to remain in influence history,critical,B,https://arxiv.org/abs/2604.04035,Key challenge to flat provenance
AGENTGUARD,AgentGuard: An Attribute-Based Access Control Framework for Tool-Use LLM-Based Agent,2026,ABAC runtime control,client/server ABAC with multiple inspection mechanisms,tool/action/context,ABAC policy,runtime context,deterministic access decisions,public implementation,agent scenarios and framework integrations,practical policy-decision architecture,high,B,https://arxiv.org/abs/2605.28071,Client-server design with three inspection mechanisms and visual policy/audit interface
FORMAL-AGENT-SEC,A Framework for Formalizing LLM Agent Security,2026,Security formalisation,"separates task alignment, action alignment, source authorization, data isolation",system property,formal games/properties,source/data relations,property-specific definitions,paper,formal examples,helps delimit Conflux theorem,critical,B,https://arxiv.org/abs/2603.19469,Use terminology to prevent overclaiming
SYSTEMS-PROBLEM,Agent Security is a Systems Problem,2026,Systems perspective,model as untrusted component; system invariants,architecture,system policy,system state,design principles,paper,case analysis,supports Conflux framing but reduces broad novelty,high,C,https://arxiv.org/abs/2605.18991,Position paper analysing eleven representative attacks
SECURE-SURVEY-2026,"Toward Secure LLM Agents: Threat Surfaces, Attacks, Defenses, and Evaluation",2026,Survey,247-paper lifecycle/system taxonomy,survey,n/a,"information flow, delegated authority, persistent state",synthesis only,survey,247-paper corpus,coverage map and gap triangulation,critical,B,https://arxiv.org/abs/2606.10749,Benchmarks underrepresent long-horizon/stateful/deployment risks
PI-LANDSCAPE-2026,The Landscape of Prompt Injection Threats in LLM Agents: From Taxonomy to Analysis,2026,SoK/benchmark,attack/defence taxonomy plus context-dependent AgentPI,system/benchmark,n/a,context dependence,empirical trade-off evidence,survey + benchmark,AgentPI,supports context-dependent tasks and no-single-defence result,high,B,https://arxiv.org/abs/2602.10453,Important challenge to defences that suppress context
TMA-NM,"Securing LLM-Agent Long-Term Memory Against Poisoning: Non-Malleable, Origin-Bound Authority with Machine-Checked Guarantees",2026,Persistent memory,write-time origin binding; non-malleable authority; corroboration-gated elevation,memory item/derivation,memory authority policy,origin and derivation,machine-checked separation and sufficiency theorems,benchmark + TLA+ models,8 frontier models; direct and laundering attacks,critical extension for Conflux memory semantics,critical,B,https://arxiv.org/abs/2606.24322,Reported 0% ASR; independently reproduce
BAD-MEMORY,Bad Memory: Evaluating Prompt Injection Risks from Memory in Agentic Systems,2026,Persistent memory attack,cross-session planted payload evaluation,memory/session,n/a,persistent files/preferences/knowledge,empirical attack evidence,sandbox harness,Claude Code and Codex across 4 models,motivates cross-session SLED environments,critical,B,https://arxiv.org/abs/2607.14611,Very recent preprint
MEMLINEAGE,MemLineage: Lineage-Guided Enforcement for LLM Agent Memory,2026,Persistent memory provenance,cryptographic provenance and weighted derivation DAG,memory item,memory policy,signed entries + derivation lineage,untrusted-path persistence under stated attribution assumptions,prototype + deterministic harness,memory poisoning and AgentDojo bridge,useful chain-of-custody component; compare against laundering assumptions,high,B,https://arxiv.org/abs/2605.14421,RFC-6962 Merkle log and per-principal Ed25519-signed entries
AGENTLAB,AgentLAB: Benchmarking LLM Agents against Long-Horizon Attacks,2026,Long-horizon benchmark,five adaptive multi-stage attack types across persistent environments,episode/state,n/a,long-horizon trace,benchmark evidence,public benchmark,28 environments and 644 security cases,extend SLED beyond depth-3 synthetic trees,critical,B,https://arxiv.org/abs/2602.16901,"Intent hijacking, tool chaining, task injection, objective drifting, and memory poisoning"
AGENTLEAK,AgentLeak: A Full-Stack Benchmark for Privacy Leakage in Multi-Agent LLM Systems,2026,Internal-channel benchmark,"privacy leakage through output, inter-agent messages, shared memory, and tool arguments",channel/trace,n/a,full-stack execution trace,benchmark evidence,benchmark + detection pipeline,"1,000 scenarios and 4,979 traces reported",requires all internal boundary crossings in traces,critical,B,https://arxiv.org/abs/2602.11510,Output-only audits miss reported internal-channel violations
EVIDENCE-TRACING,From Agent Traces to Trust: Evidence Tracing and Execution Provenance in LLM Agents,2026,Survey/provenance,taxonomy of evidence and execution provenance,claim/value/action/trace,n/a,evidence/execution graphs,synthesis only,survey,benchmarks and methods,trace schema and audit roadmap,high,B,https://arxiv.org/abs/2606.04990,Distinguish evidence support from authority
STRUQ,StruQ: Defending Against Prompt Injection with Structured Queries,2024,Model-level defence,structured separation of instructions and data,prompt segment,training/prompt format,trusted/untrusted segments,empirical robustness only,model/training method,prompt-injection tests,utility layer; not authority proof,medium,B,https://arxiv.org/abs/2402.06363,Compose below/above monitor without erasing provenance
SPOTLIGHTING,Defending Against Indirect Prompt Injection Attacks with Spotlighting,2024,Model-level defence,mark/untrusted-content transformation,prompt token/span,prompt technique,source marking,empirical robustness only,prompt method,indirect injection tests,utility/robustness layer,medium,B,https://arxiv.org/abs/2403.14720,Does not provide complete mediation
DEFENSIVE-TOKENS,Defending Against Prompt Injection with a Few DefensiveTokens,2025,Model-level defence,special defensive tokens,token/span,training/prompt,input label,empirical robustness only,model method,attack benchmarks,can reduce denied proposals,low,B,https://arxiv.org/abs/2507.07974,Not a security kernel
SECALIGN,SecAlign: Defending Against Prompt Injection with Preference Optimization,2025,Model-level defence,preference optimization for instruction/data hierarchy,model behavior,training objective,implicit,empirical robustness only,trained model,CCS evaluation,complementary model hardening,medium,A,https://doi.org/10.1145/3719027.3744836,Adaptive attacks remain relevant
DATASENTINEL,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,2025,Detection,game-theoretic detector,input/prompt,detector policy,content features,probabilistic detection,detector,PI datasets,can triage but must not grant authority,low,B,https://arxiv.org/abs/2504.11358,False negatives preclude security guarantee
MELON,MELON: Indirect Prompt Injection Defense via Masked Re-execution and Tool Comparison,2025,Model/runtime hybrid,masked re-execution and tool comparison,tool proposal,comparison heuristic,model outputs,empirical mitigation,defence implementation,agent benchmarks,useful for utility and anomaly evidence,medium,B,https://arxiv.org/abs/2502.05174,Independent monitor still required
NEURALEXEC,Neural Exec: Learning (and Learning from) Execution Triggers for Prompt Injection Attacks,2024,Attack,learned trigger attacks,prompt/model,n/a,n/a,negative robustness result,attack method,defence evaluations,supports worst-case assumption,high,B,https://arxiv.org/abs/2403.03792,Attack paper
CHECKPOINT-GCG,Checkpoint-GCG: Auditing and Attacking Fine-Tuning-Based Prompt Injection Defenses,2025,Attack/audit,checkpoint access improves attacks,model checkpoint,n/a,n/a,negative robustness result,attack method,fine-tuned defences,supports separation of robustness and authorization,high,B,https://arxiv.org/abs/2505.15738,Attack paper
CRITICAL-EVAL,A Critical Evaluation of Defenses Against Prompt Injection Attacks,2025,Evaluation critique,adaptive/standardized evaluation of defences,benchmark,n/a,n/a,negative empirical evidence,evaluation,multiple defences,motivates system-level guarantees,critical,B,https://arxiv.org/abs/2505.18333,Use to temper model-level claims
POISONING-ALIGN,Enhancing Prompt Injection Attacks to LLMs via Poisoning Alignment,2025,Attack,training poisoning improves injection,model/training,n/a,n/a,attack evidence,attack method,AISec evaluation,supports worst-case model compromise,high,A,https://doi.org/10.1145/3733799.3762963,Attack paper
AGENTDOJO,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,2024,Benchmark,dynamic agent tasks and security cases,task/tool trace,benchmark ground truth,attack/data provenance,benchmark only,code/benchmark,97 tasks; 629 security cases,primary comparative baseline,critical,A,https://arxiv.org/abs/2406.13352,Add ACS/principal overlays rather than changing task semantics
INJECAGENT,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated LLM Agents,2024,Benchmark,tool-integrated indirect injections,task/tool,benchmark ground truth,attacker tool/data source,benchmark only,dataset/benchmark,"1,054 cases; 17 user tools; 62 attacker tools",coverage of tool ecosystems,high,B,https://arxiv.org/abs/2403.02691,Annotate authority-bearing arguments
ASB,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,2025,Benchmark,broad attack/defence benchmark,scenario/tool,benchmark ground truth,scenario labels,benchmark only,benchmark,"10 scenarios, 400+ tools, 27 methods, 7 metrics",used by Progent and useful for comparison,critical,A,https://arxiv.org/abs/2410.02644,Verify current canonical version
AGENTHARM,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024,Safety benchmark,malicious tool-use tasks,task/action,safety labels,n/a,benchmark only,benchmark,110 malicious tasks + augmentations,separate safety from authorization,medium,B,https://arxiv.org/abs/2410.09024,Not a provenance benchmark
AGENT-SAFETY-BENCH,Agent-SafetyBench: Evaluating the Safety of LLM Agents,2024,Safety benchmark,"2,000 safety cases across tool environments",task/action,safety labels,n/a,benchmark only,benchmark,"349 environments, 8 risk categories",action-alignment evaluation,high,B,https://arxiv.org/abs/2412.14470,Used by ProvenanceGuard
AGENTPI,AgentPI,2026,Context-dependent benchmark,tasks whose correct action depends on runtime observations,context/action,benchmark ground truth,context source,benchmark only,benchmark,representative defence comparison,tests overblocking of untrusted context,critical,B,https://arxiv.org/abs/2602.10453,Introduced with PI landscape SoK
AGENTDYN,AgentDyn: A Dynamic Open-Ended Benchmark for Evaluating Prompt Injection Attacks of Real-World Agent Security System,2026,Dynamic benchmark,open-ended changing tasks/attacks,task/trace,benchmark ground truth,dynamic environment,benchmark only,benchmark,reported dynamic evaluation,resists static benchmark saturation,high,B,https://arxiv.org/abs/2602.03117,Useful for adaptive SLED comparison
AUTODOJO,AutoDojo: Adaptive Attacks Expose Superficial Defenses and User-Underspecification Limits in LLM Agents,2026,Adaptive benchmark/attack,automated adaptive attacks and underspecification analysis,task/trace,benchmark ground truth,adaptive attack state,benchmark/negative result,code/benchmark,adaptive attacks,test policy/provenance boundary adaptively,critical,B,https://arxiv.org/abs/2606.15057,Important for generated policy and denial feedback
LIVEPI,LivePI: More Realistic Benchmarking of Agents Against Indirect Prompt Injection,2026,Production-like benchmark,live/external content and realistic tasks,task/environment,benchmark ground truth,live content sources,benchmark only,benchmark,production-like scenarios,deployment realism,high,B,https://arxiv.org/abs/2605.17986,Reproducibility and drift require snapshots
AGENTSECBENCH,AgentSecBench,2026,Formal security benchmark,security games/properties for agents,system/trace,formal benchmark,trace labels,benchmark only,benchmark,reported suite,align SLED properties with explicit games,high,C,https://arxiv.org/abs/2605.26269,Inspect exact property definitions
ADAPTIVE-EVAL,Adaptive Evaluation of Out-of-Band Defenses Against Prompt Injection in LLM Agents,2026,Evaluation methodology,independent reproduction plus adaptive attacks,defence/task,benchmark ground truth,attack adaptation,empirical evaluation,reproduction,includes Progent reproduction,critical evidence-quality comparator,critical,B,https://arxiv.org/abs/2606.26479,Use for independent baselines
AUTOMATED-PI,Assessing Automated Prompt Injection Attacks in Agentic Environments,2026,Attack evaluation,automated attack generation/evaluation,task/trace,benchmark,attack provenance,empirical attack evidence,attack harness,AgentDojo-style environments,mutation/adaptive generation for SLED,high,B,https://arxiv.org/abs/2606.10525,Use as external attack generator
PUBLIC-COMP,How Vulnerable Are AI Agents to Indirect Prompt Injections? Insights from a Large-Scale Public Competition,2026,Real-world attack evidence,large public competition,task/attack,competition rules,attack source,empirical evidence,dataset/report,large-scale submissions,attack diversity and prevalence,high,B,https://arxiv.org/abs/2603.15714,Good source of adaptive human attacks
ART-COMP,Security Challenges in AI Agent Deployment: Insights from a Large Scale Public Competition,2025,Competition evidence,public red teaming,task/attack,competition rules,attack source,empirical evidence,dataset/report,competition,attack diversity,medium,B,https://arxiv.org/abs/2507.20526,Triangulate with formal benchmarks
AGENT-HIJACK,AgentHijack: Benchmarking Computer Use Agent Robustness to Common Environment Corruptions,2026,Environment corruption,non-adversarial/adversarial environment changes,environment/trace,benchmark ground truth,environment state,benchmark only,benchmark,agent environments,broadens influence beyond textual PI,high,C,https://arxiv.org/abs/2605.25707,Nine configurable common corruptions; robustness rather than malicious injection
SALTZER-SCHROEDER,The Protection of Information in Computer Systems,1975,Security foundations,"least privilege, complete mediation, fail-safe defaults, economy of mechanism",system design,system policy,n/a,design principles,paper,conceptual,core TCB and adapter obligations,critical,A,https://web.mit.edu/Saltzer/www/publications/protection/,Complete mediation is decisive for Conflux
REFERENCE-MONITOR,Computer Security Technology Planning Study / Reference Monitor Concept,1972,Security foundations,"tamperproof, always-invoked, verifiable monitor",system action,security policy,n/a,reference-monitor criteria,report,conceptual,defines trusted enforcement kernel,critical,A,https://csrc.nist.gov/publications/detail/report/1972/10/01/computer-security-technology-planning-study/final,Historical source; exact URL may redirect
ACCESS-MATRIX,Protection,1971,Access control,"access matrix of subjects, objects, rights",subject/object/right,matrix policy,n/a,authorization semantics,paper,conceptual,basis of ACS abstraction,critical,A,https://dl.acm.org/doi/10.1145/361011.361067,Lampson
RBAC,Role-Based Access Control Models,1996,Access control,"roles, permissions, sessions, constraints",principal/role/action,RBAC policy,n/a,authorization semantics,standard/paper,formal model,possible enterprise adapter,high,A,https://csrc.nist.gov/projects/role-based-access-control,Conflux principal sets may map through active roles
ABAC,Guide to Attribute Based Access Control,2014,Access control,"attributes of subject, object, action, environment",request,ABAC policy,n/a,authorization semantics,NIST guide,examples,pointwise production ACS model,critical,A,https://csrc.nist.gov/publications/detail/special-publication/800-162/final,Better than P subset UxA for adapters
ZANZIBAR,"Zanzibar: Google’s Consistent, Global Authorization System",2019,Relationship-based access control,relationship tuples and graph reachability,principal/resource/relation,ReBAC policy,relationship graph,authorization consistency,production system paper,Google-scale evaluation,basis for OpenFGA/SpiceDB adapters,high,A,https://research.google/pubs/zanzibar-googles-consistent-global-authorization-system/,Use for resource relationships
UCON,Usage Control: A New Approach to Access Control,2003,Usage control,"ongoing authorization, obligations, mutability",session/use,UCON policy,state/context,continuous decision semantics,paper,formal model,supports revocation and obligations during agent actions,high,A,https://dl.acm.org/doi/10.1145/947380.947385,Important for long-running effects
BIBA,Integrity Considerations for Secure Computer Systems,1977,Information integrity,integrity lattice and low-water mark,subject/object,integrity policy,integrity labels,integrity flow properties,report,conceptual,strong analogy to authority monotonicity,critical,A,https://apps.dtic.mil/sti/citations/ADA039324,Do not equate identity sets with scalar trust
BELL-LAPADULA,Secure Computer Systems: Mathematical Foundations,1973,Confidentiality,multilevel confidentiality,subject/object,security lattice,confidentiality labels,simple security/*-property,report,formal model,separate visibility from authority,critical,A,https://csrc.nist.gov/csrc/media/publications/conference-paper/1973/10/01/secure-computer-systems-mathematical-foundations/final/documents/bell76.pdf,Historical source
CLARK-WILSON,A Comparison of Commercial and Military Computer Security Policies,1987,Integrity/workflows,"well-formed transactions, separation of duty",transaction/principal,certified procedures,audit history,integrity properties,paper,conceptual,approval and transactional effect model,high,A,https://doi.org/10.1109/SP.1987.10001,Useful for enterprise workflows
DENNING-LATTICE,A Lattice Model of Secure Information Flow,1976,Information flow,lattice labels and flow constraints,value/channel,flow policy,labels,flow theorem,paper,formal model,mathematical basis for label composition,critical,A,https://doi.org/10.1145/360051.360056,Principal sets form a powerset-like label domain
DIFC,A Decentralized Model for Information Flow Control,1997,Decentralized IFC,"owners, readers, declassification",value/principal,decentralized labels,owner/reader labels,noninterference-style properties,paper,formal model,closest foundation for multi-principal confidentiality/declassification,critical,A,https://www.cs.cornell.edu/andru/papers/iflow-sosp97.pdf,Myers and Liskov
JIF,Jif: Java Information Flow,2001,Language-based IFC,static labels and declassification,program value,IFC policy,static labels,type-safety/noninterference,language/compiler,programs,possible effect-system inspiration,high,A,https://www.cs.cornell.edu/jif/,Use semantic effect typing ideas
FABRIC,Fabric: A Platform for Secure Distributed Computation and Storage,2009,Distributed IFC,language/runtime IFC across distributed systems,distributed value,IFC policy,labels and principals,security under distributed execution,platform,case studies,cross-agent/distributed provenance foundation,medium,A,https://www.cs.cornell.edu/projects/fabric/,Relevant to multi-agent propagation
LIO,LIO: Dynamic Information Flow Control in Haskell,2012,Dynamic IFC,floating current label and labelled values,thread/value,IFC policy,dynamic labels,noninterference under assumptions,library/runtime,programs,analogy for current Principal Context,critical,A,https://hackage.haskell.org/package/lio,Whole-execution taint resembles floating label
NMIFC,Nonmalleable Information Flow Control,2017,IFC/declassification,robust declassification and transparent endorsement,program/value,IFC policy,attacker influence,nonmalleability,paper,formal model,foundation for memory laundering and delegation,critical,A,https://www.cs.cornell.edu/andru/papers/nmifc.pdf,Directly relevant to TMA-NM
NONINTERFERENCE,Noninterference and the Composability of Security Properties,1982,Formal security,outputs independent of secrets,trace/system,security policy,input/output dependence,noninterference,paper,formal model,needed for confidentiality claims,critical,A,https://doi.org/10.1109/SP.1982.10017,Authorization safety is not confidentiality
HYPERPROPERTIES,Hyperproperties,2008,Formal security,sets-of-traces properties,trace sets,property,trace relations,hyperproperty semantics,paper,formal model,SLED extension for confidentiality and observational equivalence,critical,A,https://doi.org/10.1109/CSF.2008.7,Clarkson and Schneider
SECURITY-AUTOMATA,Enforceable Security Policies,2000,Runtime enforcement,security automata and enforceability,event trace,runtime policy,history,characterises enforceable safety properties,paper,formal model,clarifies what reference monitor can enforce,critical,A,https://www.cs.cornell.edu/fbs/publications/EnfSecPols.pdf,Schneider
CAMFLOW,CamFlow: Managed Data-Sharing for Cloud Services,2015,Whole-system provenance/IFC,kernel-level IFC/provenance,OS object/event,flow policy,whole-system graph,system enforcement,Linux implementation,cloud workloads,inspiration for trustworthy capture below agent framework,high,A,https://www.repository.cam.ac.uk/handle/1810/247410,Adapter provenance may need OS support
CAMQUERY,CamQuery: Continuous Online Processing of Provenance for Security,2018,Provenance analysis,online queries over whole-system provenance,event graph,security query,whole-system provenance,runtime detection/enforcement,Linux implementation,security analyses,useful for trace streaming and policy monitors,high,A,https://www.usenix.org/conference/usenixsecurity18/presentation/pasquier,Scalable provenance processing
W3C-PROV,W3C PROV,2013,Provenance standard,"entities, activities, agents, derivation, attribution",artifact/event/agent,n/a,standard provenance graph,representation standard,W3C recommendation,interoperability,base vocabulary for decision certificates,critical,A,https://www.w3.org/TR/prov-overview/,Does not itself define authority semantics
WHY-PROVENANCE,Why and Where: A Characterization of Data Provenance,2001,Database provenance,why/where provenance,tuple/value,query semantics,derivation witnesses,query provenance semantics,paper,database queries,granularity and explanation foundations,high,A,https://doi.org/10.1007/3-540-44503-X_20,Useful distinction from possible writers
PROV-SEMIRINGS,Provenance Semirings,2007,Database provenance,algebraic annotations for query derivations,tuple/value,query semantics,semiring annotations,compositional provenance,paper,database queries,potential algebra for influence composition,high,A,https://doi.org/10.1145/1265530.1265535,"Green, Karvounarakis, Tannen"
PASS,PASS: Provenance-Aware Storage System,2006,Whole-system provenance,capture file/process lineage,OS file/event,n/a,system provenance,audit lineage,system,storage workloads,practical provenance capture precedent,medium,A,https://www.usenix.org/legacy/event/usenix06/tech/full_papers/muniswamy-reddy/muniswamy-reddy.pdf,Historical provenance system
